time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.x_com,.xd_com,.dtheta,.x,.y,.ux,.uy,.heading,.flag
2023/12/06/18:40:57.141954,38,0,0,,0.2,0.6815795786786359,0.36627603778375656,4.549152444485654,4.631229595753468,0.0,0.0,0.0,0
2023/12/06/18:40:57.539206,39,0,0,,0.2,0.6708684346490663,0.36375556140849274,4.67813041369932,4.693725751924101,0.0,0.0,0.0,0
2023/12/06/18:40:57.937363,40,0,0,,0.2,0.6665215462027578,0.36096069693650695,4.818333629447363,4.754809016259213,0.0,0.0,0.0,0
2023/12/06/18:40:58.334628,41,0,0,,0.19673318505888254,0.6744903590598871,0.3629532817044049,4.946765671484568,4.814224958469104,0.0,0.0,0.0,0
2023/12/06/18:40:58.731773,42,0,0,,0.19894728408198512,0.6746988388067787,0.3667689718727765,5.086484792998731,4.8696937796394275,0.0,0.0,0.0,0
2023/12/06/18:40:59.130913,43,0,0,,0.2,0.6615651682025718,0.36658397059782344,5.243556919782772,4.922432434667601,0.0,0.0,0.0,0
2023/12/06/18:40:59.529465,44,0,0,,0.19962749346906225,0.6687344566330559,0.3690116221652589,5.395424629790613,4.975085719682248,0.0,0.0,0.0,0
2023/12/06/18:40:59.928195,45,0,0,,0.19376376839281761,0.6621390881954997,0.36721585802318646,5.518465446525676,5.033839391892944,0.0,0.0,0.0,0
2023/12/06/18:41:00.327442,46,0,0,,0.19827451911911456,0.6638077059249724,0.36179423674155703,5.6613843251279095,5.098907571026283,0.0,0.0,0.0,0
2023/12/06/18:41:00.726021,47,0,0,,0.19667269210047392,0.6594127151976805,0.35670033684427166,5.7931179312464325,5.161482337886424,0.0,0.0,0.0,0
2023/12/06/18:41:01.123943,48,0,0,,0.1979376962440135,0.6578453500193887,0.35919920318913684,5.940863662453351,5.225782670858298,0.0,0.0,0.0,0
2023/12/06/18:41:01.521879,49,0,0,,0.18747705540173135,0.6472433553920095,0.3581339804009754,6.043265191674174,5.2798796741683685,0.0,0.0,0.0,0
2023/12/06/18:41:01.920012,50,0,0,,0.18522730572951662,0.6447721140747865,0.3547473352924793,6.15076177316833,5.318396291030804,0.0,0.0,0.0,0
2023/12/06/18:41:02.318698,51,0,0,,0.18933149255864673,0.6462635370868764,0.35627954763905273,6.267161640041782,5.365139831141906,0.0,0.0,0.0,0
2023/12/06/18:41:02.715869,52,0,0,,0.19818154120397122,0.6500588672226175,0.35156315811970557,6.413252000718225,5.436262915886272,0.0,0.0,0.0,0
2023/12/06/18:41:03.113602,53,0,0,,0.18222930471775403,0.6347970079781181,0.3492979554066372,6.468276487569079,5.484141171946989,0.0,0.0,0.0,0
2023/12/06/18:41:03.511799,54,0,0,,0.2,0.6465427986548916,0.3534974604343325,6.5900438405192565,5.578967609000627,0.0,0.0,0.0,0
2023/12/06/18:41:03.909877,55,0,0,,0.19842166371072295,0.6423356482574961,0.32081528358408956,6.719561067061609,5.64665011875768,0.0,0.0,0.0,0
2023/12/06/18:41:04.308188,56,0,0,,0.179489265890611,0.626092307529434,0.3256581839210826,6.786198429569458,5.66376845955728,0.0,0.0,0.0,0
2023/12/06/18:41:04.706326,57,0,0,,0.19813129341943722,0.6408251709838633,0.33203275068941807,6.952806752345697,5.6814633948789774,0.0,0.0,0.0,0
2023/12/06/18:41:05.104392,58,0,0,,0.19885317500108685,0.636245638297512,0.3409870397564048,7.114195234238648,5.733800158565816,0.0,0.0,0.0,0
2023/12/06/18:41:05.502384,59,0,0,,0.1794372767514639,0.6186803343400737,0.3375427786272723,7.19724062714887,5.788808585900414,0.0,0.0,0.0,0
2023/12/06/18:41:05.899878,60,0,0,,0.1851072725086938,0.6233582429187711,0.3298647154004888,7.3211587236422035,5.844130711034275,0.0,0.0,0.0,0
2023/12/06/18:41:06.298498,61,0,0,,0.18985150243250726,0.6243423340026801,0.3328422900358028,7.440918699701092,5.890264083806198,0.0,0.0,0.0,0
2023/12/06/18:41:06.696197,62,0,0,,0.1848495606116427,0.6175313776053593,0.33955264831288107,7.561704891200427,5.927604187137547,0.0,0.0,0.0,0
2023/12/06/18:41:07.094758,63,0,0,,0.17966411337301635,0.6119711815781251,0.32863508391638974,7.667893609268025,5.959965581621696,0.0,0.0,0.0,0
2023/12/06/18:41:07.492837,64,0,0,,0.18557086379152557,0.6151939740072019,0.33780047797825385,7.794348009628505,5.999686886628648,0.0,0.0,0.0,0
2023/12/06/18:41:07.891468,65,0,0,,0.1942653690312351,0.6187129478128444,0.3522160251709976,7.956203200555736,6.036713885480081,0.0,0.0,0.0,0
2023/12/06/18:41:08.290703,66,0,0,,0.1777144780379614,0.6026283849884074,0.34753925412991726,8.050655885326924,6.037001640755799,0.0,0.0,0.0,0
2023/12/06/18:41:08.687943,67,0,0,,0.19233782394191348,0.5962913520977303,0.32603773932639557,8.221412245205576,6.038123877952601,0.0,0.0,0.0,0
2023/12/06/18:41:09.086156,68,0,0,,0.19287775493676146,0.5925860840674023,0.3653581241603706,8.38697278436736,6.088155084329115,0.0,0.0,0.0,0
2023/12/06/18:41:09.484339,69,0,0,,0.1682296991915557,0.5383396805790552,0.3402226692718309,8.498292459550148,6.13106668247411,0.0,0.0,0.0,0
2023/12/06/18:41:09.881469,70,0,0,,0.17866197150654278,0.5659866101810693,0.319343845930686,8.648865316351765,6.193530004757126,0.0,0.0,0.0,0
2023/12/06/18:41:10.278765,71,0,0,,0.17402939979318136,0.5558067424593272,0.32796449098070385,8.757696835501157,6.255211123210753,0.0,0.0,0.0,0
2023/12/06/18:41:10.677095,72,0,0,,0.19366991088950788,0.5336470020260679,0.31268583198546396,8.941044135436387,6.317595432058522,0.0,0.0,0.0,0
2023/12/06/18:41:11.075493,73,0,0,,0.18318748407484517,0.5774388229955271,0.28392983981355613,9.025432296695982,6.375385662297167,0.0,0.0,0.0,0
2023/12/06/18:41:11.472903,74,0,0,,0.1817934359887162,0.5744042779616763,0.3008770192331676,9.161588821415805,6.440448257165115,0.0,0.0,0.0,0
2023/12/06/18:41:11.872356,75,0,0,,0.18189790558532237,0.5727149314123915,0.28817256019088805,9.300440730655598,6.492037564587603,0.0,0.0,0.0,0
2023/12/06/18:41:12.270943,76,0,0,,0.18070639939393354,0.5697603280432757,0.27887929124953253,9.450731158444468,6.546856310271106,0.0,0.0,0.0,0
2023/12/06/18:41:12.669809,77,0,0,,0.17923456222318268,0.5671430377812122,0.27657061048388454,9.597081926854008,6.599864092251818,0.0,0.0,0.0,0
2023/12/06/18:41:13.067635,78,0,0,,0.17030829599562683,0.5672986287617585,0.27834280607991135,9.699904751166992,6.611036795776398,0.0,0.0,0.0,0
2023/12/06/18:41:13.466055,79,0,0,,0.1791211343508189,0.5737512225810011,0.2908402620226257,9.834576249823954,6.64068476401586,0.0,0.0,0.0,0
2023/12/06/18:41:13.864460,80,0,0,,0.1776224614824028,0.569446871575073,0.3025125760853482,9.95678879161828,6.668638687950864,0.0,0.0,0.0,0
2023/12/06/18:41:14.263315,81,0,0,,0.17907086798055524,0.5683432386404605,0.30920403706996646,10.098930008302544,6.700324954388865,0.0,0.0,0.0,0
2023/12/06/18:41:14.661457,82,0,0,,0.18373758062728435,0.5692772145485732,0.3190718864135018,10.251261023822039,6.74519767424452,0.0,0.0,0.0,0
2023/12/06/18:41:15.060714,83,0,0,,0.17274312134386435,0.5579212109573723,0.329434237678279,10.354721684070327,6.7923127984497444,0.0,0.0,0.0,0
2023/12/06/18:41:15.458517,84,0,0,,0.18479887612681678,0.5662535129534324,0.33767775668616684,10.504681909947161,6.861200085850521,0.0,0.0,0.0,0
2023/12/06/18:41:15.856380,85,0,0,,0.18263757323153734,0.5602589495073822,0.3264961336054424,10.647263758487533,6.917872108069607,0.0,0.0,0.0,0
2023/12/06/18:41:16.253919,86,0,0,,0.17905663214179243,0.5550493593848232,0.33731704575521093,10.789025987674263,6.969345955657731,0.0,0.0,0.0,0
